qid,topic,common_trap,how_to_avoid
1,Hip,Confusing anterior hip dislocation with posterior dislocation.,"Anterior hip dislocation = abducted, externally rotated limb."
2,Fracture/Trauma,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
3,Peripheral Nerves,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
4,Ankle/Foot,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
5,Wrist/Hand,Missing occult scaphoid injury when initial x-ray is normal.,Treat snuffbox tenderness after FOOSH as scaphoid fracture until proven otherwise.
6,Knee,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
7,Ankle/Foot,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
8,Knee,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
9,Arthritis,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
10,Spine/Back,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
11,Bone Tumors/Metabolic,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
12,Elbow,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
13,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
14,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
15,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
16,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
17,Knee,Confusing gout with septic arthritis or RA.,Acute monoarthritis with crystal story and recurrent flares favors gout.
18,Knee,Confusing meniscal tears with collateral or cruciate ligament injuries.,Mechanical locking/catching plus joint-line tenderness points to meniscus.
19,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
20,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
