Front	Back	Tags
"Subject System Topic A 46-year-old man is brought to the clinic by his wife because of progressive changes in mood, thinking, and movement. Over the past several years, she has noticed that he has become more forgetful, often misplacing items or repeating the same questions. Recently, he has struggled to keep track of bills and could no longer
A. Aqueductal stenosis B. Cerebellar tonsillar herniation C. Choroid plexus papilloma D. Colloid cyst of the foramen of Monro E. Ependymoma of the fourth ventricle F. Meningioma compressing the cerebral aqueduct G. Pinealoma H. Subarachnoid hemorrhage Wrong answer explanations: Choice A: Aqueductal stenosis leads to dilation of the lateral and third ventricles with a small fourth ventricle, not isolated lateral ventricular enlargement. It is also a more chronic process. Choice B: Cerebellar tonsillar herniation results from severe intracranial pressure and causes brainstem compression with coma or death, but does not explain isolated ventricular enlargement patterns. Choice C: Choroid plexus papilloma increases CSF production, causing communicating hydrocephalus, typically with enlargement of all ventricles. It does not obstruct a specific foramen. Choice E: Ependymoma of the fourth ventricle causes obstruction at the level of the fourth ventricle or its outlets, resulting in dilation of the third and lateral ventricles. The fourth ventricle would be enlarged or irregular, unlike in this case. Choice F: Meningiomas are slow-growing and often asymptomatic until large. Compression of the aqueduct would cause triventricular hydrocephalus (lateral + third ventricles enlarged), not isolated lateral ventricular dilation. Choice G: Pinealomas can compress the pretectal region or the cerebral aqueduct, causing Parinaud syndrome or aqueductal obstruction. Again, they would lead to enlargement of lateral and third ventricles, not just the lateral ones. Choice H: Subarachnoid hemorrhage impairs CSF reabsorption and causes communicating hydrocephalus with global ventricular enlargement. It does not produce the obstructive pattern seen here. Bottom line: A colloid cyst of the foramen of Monro causes acute obstructive hydrocephalus with selective enlargement of the lateral ventricles, often in young adults presenting with positional headache, vomiting, and sudden collapse. Anatomy Neurology (Hydrocephalus) None"	"A. Aqueductal stenosis

manage his work as a financial consultant, leading to his early retirement"	General
"mental status testing, he is unable to recall any of three objects after five minutes intention tremors or dysmetria, not the random, dance-like jerks of chorea. Memory impairment in cerebellar disease is mild compared to the severe dementia of Huntington’s. Therefore, cerebellar vermis atrophy does not explain this case. and struggles to interpret common proverbs. Cranial nerve exam is normal. Gait is Choice C: Atrophy of the substantia nigra is characteristic of Parkinson’s disease, which presents with resting tremor, cogwheel rigidity, bradykinesia, and postural instability. Parkinson’s disease does not feature chorea but instead hypokinetic symptoms. Cognitive decline may occur late, but the hallmark early movement disorder is very different. The wide-based and irregular due to sudden, unpredictable jerks. MRI of the brain is absence of tremor, rigidity, or bradykinesia in this patient argues strongly against substantia nigra degeneration. obtained. Which of the following findings is most likely to be seen on imaging? Choice D: Increased T2 signal in the putamen can be seen in Wilson’s disease, a genetic disorder of copper metabolism. Wilson’s disease often presents in adolescence or young adulthood with hepatic disease, psychiatric symptoms, and movement disorders such as dystonia, tremor, or parkinsonism. Kayser-Fleischer rings and abnormal liver function are key findings, none of which are seen here. The later onset and classic caudate involvement make Wilson’s disease unlikely in this 56-year-old patient. Choice E: Lesions in the frontal white matter are characteristic of vascular dementia, multiple sclerosis, or other demyelinating/ischemic processes. These conditions may cause cognitive decline but not the distinctive involuntary choreiform movements described here. MS would also typically present in a younger patient with relapsing neurologic deficits affecting different locations in space and time. Vascular dementia is associated with stepwise decline and focal neurologic findings such as hemiparesis, not random jerks. This makes frontal white matter lesions an incorrect choice for this presentation.
A. Atrophy of the caudate nucleus Bottom line: Huntington disease is an autosomal dominant TNR disorder with anticipation, caused by CAG repeat expansion on chromosome 4, leading to progressively earlier and more severe disease in subsequent generations. MRI shows caudate nucleus atrophy, which explains the triad of psychiatric disturbance, cognitive decline, and choreiform movements. B. Atrophy of the cerebellar vermis C. Atrophy of the substantia nigra Anatomy Neurology (Neurodegenerative disorders and dementias) None Subject System Topic D. Increased T2 signal in the putamen E. Lesions in the frontal white matter"	"C. Atrophy of the substantia nigra Anatomy Neurology (Neurodegenerative disorders and dementias) None Subject System Topic

The correct answer is C"	General
"and does not respond when spoken to from his left side
A. C5 B. C6 C. C7 D. C8 E. T1 Wrong answer explanations: Choice A: C5 innervates the deltoid and biceps, with sensory distribution over the lateral upper arm. C5 radiculopathy causes weakness in shoulder abduction and elbow flexion, not the triceps or wrist extensors. The sensory loss would be proximal, not extending to the hand. Choice B: C6 affects the biceps, brachioradialis, and wrist extensors, and provides sensation to the lateral forearm and thumb/index fingers. C6 involvement may include reduced biceps or brachioradialis reflexes and lateral hand paresthesias, but it spares the middle finger and triceps. Choice D: C8 controls finger flexors and intrinsic hand muscles, with sensory distribution over the medial forearm and fourth/fifth digits. Weakness would be seen in grip strength and finger flexion, not wrist extension or triceps strength. This patient's distribution does not match C8. Choice E: T1 innervates the intrinsic hand muscles, including those responsible for finger abduction and fine motor control. T1 radiculopathy causes sensory loss over the medial arm and may cause difficulty with hand coordination, but not triceps weakness or middle finger numbness. Bottom line: C7 radiculopathy presents with triceps weakness, diminished triceps reflex, wrist extensor weakness, and numbness in the middle finger. It is typically due to foraminal narrowing at the C6–C7 level, and most cases improve with conservative therapy. Anatomy Neurology (Spinal cord disorders) None Subject System A 68-year-old man is brought to the emergency department by his wife due to confusion and difficulty attending to his surroundings. She reports that since waking up this morning, he has ignored food on the left side of his plate"	"E. T1 Wrong answer explanations: Choice A: C5 innervates the deltoid and biceps, with sensory distribution over the lateral upper arm. C5 radiculopathy causes weakness in shoulder abduction and elbow flexion, not the triceps or wrist extensors. The sensory loss would be proximal, not extending to the hand. Choice B: C6 affects the biceps, brachioradialis, and wrist extensors, and provides sensation to the lateral forearm and thumb/index fingers. C6 involvement may include reduced biceps or brachioradialis reflexes and lateral hand paresthesias, but it spares the middle finger and triceps. Choice D: C8 controls finger flexors and intrinsic hand muscles, with sensory distribution over the medial forearm and fourth/fifth digits. Weakness would be seen in grip strength and finger flexion, not wrist extension or triceps strength. This patient's distribution does not match C8. Choice E: T1 innervates the intrinsic hand muscles, including those responsible for finger abduction and fine motor control. T1 radiculopathy causes sensory loss over the medial arm and may cause difficulty with hand coordination, but not triceps weakness or middle finger numbness. Bottom line: C7 radiculopathy presents with triceps weakness, diminished triceps reflex, wrist extensor weakness, and numbness in the middle finger. It is typically due to foraminal narrowing at the C6–C7 level, and most cases improve with conservative therapy. Anatomy Neurology (Spinal cord disorders) None Subject System A 68-year-old man is brought to the emergency department by his wife due to confusion and difficulty attending to his surroundings. She reports that since waking up this morning, he has ignored food on the left side of his plate

and does not respond when spoken to from his left side"	General
"Choice C: Lesions here would cause right homonymous hemianopia, a visual field defect, but not neglect. Patients would be aware of their deficit and not show spatial inattention.
A. Left angular gyrus Choice D: This area plays a role in motor inhibition and speech prosody (especially emotional tone), but is not the primary center for spatial attention. Damage would not cause neglect. Choice F: This area contributes to semantic memory and social-emotional processing, not spatial attention. Lesions may cause subtle behavioral changes but not left-sided neglect. B. Left dorsolateral prefrontal cortex Choice G: Bilateral SMA lesions can cause akinetic mutism, but not spatial neglect. The SMA is involved in motor planning, not spatial awareness. C. Left occipital lobe Choice H: Located in the dominant posterior temporal lobe, this area governs language comprehension. Lesions result in fluent aphasia, not spatial neglect or visuospatial distortion. D. Right inferior frontal gyrus Bottom line: E. Right posterior parietal cortex Hemispatial neglect results from damage to the non-dominant (usually right) posterior parietal cortex, causing inattention to the contralateral (left) side of space. Patients are often unaware of the deficit (anosognosia), and it is distinct from primary sensory or visual loss. F. Right temporal pole Anatomy Neurology (Strokes & Stroke-related stuff) None G. Supplementary motor area (bilateral) Subject System Topic H. Wernicke area A 45-year-old man is brought to the emergency department after being involved in a high-speed motor vehicle collision. Emergency medical services report that he was"	"C. Left occipital lobe Choice H: Located in the dominant posterior temporal lobe, this area governs language comprehension. Lesions result in fluent aphasia, not spatial neglect or visuospatial distortion.

initially responsive but confused at the scene"	General
"and respiratory pattern? findings of a large extra-axial hematoma or the irregular respirations. Choice B: Autonomic storm (or sympathetic storm) can occur after traumatic brain injury, but it is characterized by fever, hypertension, diaphoresis, and tachycardia due to excessive sympathetic discharge. This patient, by contrast, has bradycardia, which is not consistent with a sympathetic storm. The triad present is more specific for a reflex response to intracranial vascular compression rather than generalized sympathetic hyperactivity. Choice D: Direct cardiac injury can cause arrhythmias, including sinus node dysfunction, but it does not produce the simultaneous hypertension and depressed respirations observed here. Additionally, there were no signs of thoracic trauma in this patient — no chest wall bruising, abnormal heart sounds, or pulmonary findings. The CT head confirming mass effect explains the physiology far better than hypothesizing isolated cardiac trauma. Choice E: Seizures can cause transient hypertension and tachycardia due to sympathetic activation, but they do not typically produce the triad of sustained hypertension, bradycardia, and abnormal respirations. Furthermore, seizures do not account for the CT findings of an expanding extra-axial hemorrhage with midline shift. The neurologic
A. Activation of baroreceptors due to systemic hypovolemia deterioration here stems from pressure dynamics, not seizure physiology. B. Autonomic storm triggered by brainstem herniation Bottom line: C. Collapse of intracerebral vessels from rising cranial pressure The Cushing reflex is the triad of hypertension, bradycardia, and irregular respirations. It results from compression of cerebral vessels and brainstem structures due to rising intracranial pressure. D. Primary injury to the sinoatrial node in blunt chest trauma Physiology Neurology (Traumatic brain injuries) None E. Seizure-induced autonomic dysregulation Subject System Topic"	"C. Collapse of intracerebral vessels from rising cranial pressure The Cushing reflex is the triad of hypertension, bradycardia, and irregular respirations. It results from compression of cerebral vessels and brainstem structures due to rising intracranial pressure.

The correct answer is C"	General
"Choice B: The median nerve (C5–T1) travels with the brachial artery in the arm, passes between the pronator teres heads, and enters the hand via the carpal tunnel. It supplies motor innervation to most forearm flexors and the thenar muscles via the recurrent branch (opponens pollicis, abductor pollicis brevis, flexor pollicis brevis), and provides sensory input to the lateral palm and palmar aspects of the lateral 3½ digits (plus dorsal distal tips). Injury leads to thenar weakness, loss of thumb opposition, and sensory deficits; carpal tunnel compression causes nocturnal paresthesias and thenar atrophy. Because it contains critical motor fibers for hand function, a biopsy here risks disabling motor impairment and is inappropriate when aiming to avoid motor dysfunction.
A. Common fibular nerve B. Median nerve C. Radial nerve D. Sural nerve E. Ulnar nerve Cutaneous nerves of the hand. Choice C: The radial nerve (C5–T1) courses in the spiral groove with the profunda brachii artery, innervates the triceps, then splits into deep (posterior interosseous) and superficial branches near the lateral epicondyle. It is the primary motor supply to wrist and finger extensors, with sensory coverage to the posterior arm/forearm and dorsal lateral hand. Injury produces the HY finding of wrist drop and loss of finger extension, often with dorsal hand numbness; compression can occur with prolonged pressure (“Saturday night palsy”). Because biopsy would endanger essential motor function for wrist and finger extension, this nerve is not selected when preserving motor strength is a priority. Choice E: The ulnar nerve (C8–T1) passes posterior to the medial epicondyle (funny bone), enters the forearm between the FCU heads, and reaches the hand via Guyon’s canal. It supplies motor fibers to the intrinsic hand muscles (interossei, medial lumbricals) and forearm flexors (FCU and medial FDP) and provides sensory innervation to the medial 1½ digits and corresponding hand regions, palmar and dorsal. Lesions cause grip weakness, loss of finger abduction/adduction, and ulnar claw posture with sensory loss along the medial hand. Because of its significant motor role in intrinsic hand function, ulnar nerve biopsy risks permanent motor deficits and is not appropriate when motor preservation is required. Bottom line: The sural nerve is a purely sensory nerve located along the posterior-lateral leg and lateral foot. Its lack of motor fibers allows biopsy without causing muscle weakness, making it the preferred site when histopathologic confirmation of a neuropathy is required. This approach preserves motor function while still allowing for definitive diagnosis of conditions such as vasculitis, amyloidosis, leprosy, or hereditary neuropathies. Anatomy Neurology (Disorders of peripheral nerves and muscles) None Subject System Topic"	"B. Median nerve

The correct answer is B"	General
"inhibitors may be used off-label in LEMS, their benefit is limited due to the presynaptic nature of the disorder. The key feature in LEMS is impaired ACh release, not breakdown. Choice D: Upregulation of ACh receptors occurs in settings of denervation, such as spinal cord injury or chronic use of neuromuscular blockers. It can also occur in myasthenia gravis as a compensatory mechanism. However, in LEMS, the problem lies in reduced neurotransmitter release, not in the sensitivity or density of the post-synaptic receptors. Therefore, this mechanism does not explain the patient's improvement in strength with repeated activity. It is unrelated to the pathogenesis of LEMS.
A. Decreased acetylcholine reuptake at the motor endplate Choice E: On USMLE, this is the mechanism of action of tetrodotoxin, a potent neurotoxin found in pufferfish. It works by blocking voltage-gated sodium channels on neuronal cell membranes. This prevents action potential initiation and propagation, leading to flaccid paralysis, paresthesias, and potentially fatal respiratory B. Increased calcium influx with repeated depolarization failure. It has no involvement in the neuromuscular junction physiology seen in Lambert-Eaton syndrome. In LEMS, the defect is presynaptic and involves impaired calcium-dependent ACh release, not sodium channel conduction. Therefore, sodium channel blockade does not explain the observed improvement in muscle strength with repeated use. C. Inhibition of acetylcholinesterase at the synaptic cleft D. Post-synaptic receptor upregulation Bottom line: E. Inhibition of voltage-gated sodium channel activation Lambert-Eaton myasthenic syndrome is caused by autoantibodies against presynaptic voltage-gated calcium channels, leading to decreased acetylcholine release. With repeated effort, calcium accumulates, allowing improved ACh release and muscle strength — a feature that helps distinguish it from myasthenia gravis. LEMS is a key paraneoplastic syndrome, especially in heavy smokers with small cell lung cancer Physiology Neurology (Disorders of peripheral nerves and muscles) None Subject System Topic A 19-year-old college student is brought to the emergency department by his roommate after noticing sudden changes in his face earlier that morning. The roommate reports that when the patient tried to smile, the left side of his mouth did not move, and milk spilled out while he was drinking. The patient himself says that his face “feels heavy” and that he cannot close his left eye completely. He also notes"	"D. Post-synaptic receptor upregulation Bottom line:

a dull aching pain around his left ear that started the night before, which has not The correct answer is D"	General
"His speech is clear, but when he tries to puff out his cheeks, air escapes from the left anterior horn cell disease progresses chronically, rather than causing sudden onset focal weakness of one side of the face. Thus, this does not match the acute presentation here. side. Hearing is intact, though he complains of mild discomfort near the left ear. The Choice B: Muscle fiber disease (myopathy) produces symmetric weakness that usually affects proximal muscles such as the hips, shoulders, or neck flexors. Common causes include muscular dystrophies, inflammatory myopathies, or metabolic disorders. Isolated facial weakness is rare and, when present, is usually bilateral (eg, facioscapulohumeral remainder of the physical examination is normal. Which of the following best dystrophy). In addition, myopathy does not explain the sudden onset and ear pain in this case. Therefore, muscle involvement is not the correct localization. describes the location of the abnormality? Choice C: Myasthenic neuromuscular junction disorders, such as myasthenia gravis, classically present with fluctuating muscle weakness that worsens with activity and improves with rest. Ocular symptoms (ptosis and diplopia) are common, but complete hemifacial paralysis involving both the upper and lower face is not typical. Myasthenia also does not cause localized ear pain or acute onset. This diagnosis is further excluded by the absence of fatigability, limb weakness, or bulbar symptoms such as dysarthria or dysphagia. Choice E: Spinal cord tract lesions cause long-tract signs such as contralateral weakness, spasticity, sensory loss, or autonomic dysfunction. They do not produce isolated cranial nerve deficits involving the face. The patient has intact strength and reflexes in all extremities and no sensory deficits, making a spinal cord lesion highly unlikely. The presence of isolated unilateral facial motor weakness points instead to the peripheral facial nerve. Bottom line:
A. Anterior horn cell This presentation is classic for Bell’s palsy, an acute peripheral facial nerve palsy causing weakness of both the upper and lower face with preserved sensation. B. Muscle fiber Pathophysiology Neurology (Disorders of peripheral nerves and muscles) None C. Myasthenic neuromuscular junction Subject System Topic D. Peripheral nerve E. Spinal cord tract"	"A. Anterior horn cell This presentation is classic for Bell’s palsy, an acute peripheral facial nerve palsy causing weakness of both the upper and lower face with preserved sensation.

The correct answer is A"	General
"Subject System Topic
A. Anterior hypothalamus B. Arcuate nucleus C. Lateral hypothalamus D. Posterior hypothalamus E. Suprachiasmatic nucleus Wrong answer explanations: Choice B: (Arcuate nucleus): Involved in appetite regulation and neuroendocrine control (dopamine, GnRH release), not temperature regulation. Choice C: (Lateral hypothalamus): Stimulates hunger; lesions here cause anorexia and weight loss. Choice D: (Posterior hypothalamus): Responsible for heat conservation; lesions here would cause hypothermia. Choice E: (Suprachiasmatic nucleus): Regulates circadian rhythms via light input; not involved in thermoregulation. Bottom line: Anterior hypothalamus = heat dissipation (vasodilation, sweating) → lesion → hyperthermia. Anatomy Neurology (Normal structure and function of the nervous system) None"	"C. Lateral hypothalamus

A neuroscience lab is conducting an experiment using a The correct answer is C"	General
"long-term memory for pre-ischemia tasks. Postmortem Choice B: The caudate nucleus is part of the basal ganglia and is involved in motor planning, procedural learning, and some aspects of behavioral control. Lesions in the caudate can lead to movement disorders, such as chorea in Huntington disease, or executive dysfunction in frontal lobe circuits. It is not typically involved in conscious memory histologic analysis reveals localized neuronal loss in a formation or anterograde amnesia. Moreover, the caudate receives blood primarily from the deep penetrating branches of the middle cerebral artery, not the posterior cerebral artery used in this experiment. Histologic involvement of the caudate would more likely present with motor symptoms, which were not observed in the experimental animals. bilateral medial temporal lobe structure characterized by a Choice D: The nucleus accumbens plays a role in reward processing, motivation, and addiction-related behavior, integrating dopaminergic signals from the ventral tegmental area. It is not a primary structure involved in episodic memory encoding or consolidation. Lesions of the nucleus accumbens may lead to apathy, anhedonia, or motivational high density of glutamatergic synapses, NMDA receptor deficits, not selective anterograde amnesia. Additionally, it does not fall within the PCA vascular territory and is not characterized by high expression of NMDA-dependent long-term potentiation, as the hippocampus is. The absence of motivational or affective symptoms in the animal behavior also makes this structure unlikely to be the site of injury. expression, and involvement in short-term to long-term Choice E: The subthalamic nucleus is a component of the indirect basal ganglia pathway, involved in inhibitory motor control. Lesions here typically result in contralateral hemiballismus, a severe form of involuntary flinging movement. It is not implicated in memory formation, and its damage would produce a motor phenotype, which was explicitly memory consolidation. Which of the following brain regions absent in this experimental scenario. Moreover, it lies in the diencephalon and receives blood from branches of the posterior communicating artery, not the posterior cerebral artery territory discussed here. The presence of pure cognitive impairment with memory loss strongly rules out this motor nucleus. was most likely affected in this experimental model? Bottom line: The hippocampus is critical for anterograde memory formation and is highly sensitive to ischemia, particularly in posterior cerebral artery occlusion. Transient hypoperfusion can lead to selective neuronal death via glutamate excitotoxicity, especially in NMDA receptor–rich regions like the hippocampus. Anterograde amnesia with preserved older
A. Amygdala memories and intact motor function localizes to bilateral hippocampal injury. B. Caudate nucleus Anatomy Neurology (Strokes & Stroke-related stuff) None C. Hippocampus Subject System Topic D. Nucleus accumbens E. Subthalamic nucleus"	"B. Caudate nucleus Anatomy Neurology (Strokes & Stroke-related stuff) None

A 61-year-old man presents with complaints of worsening morning The correct answer is B"	General
