qid,topic,correct_answer,common_trap
1,General,D. Inhibits microtubule polymerization during M phase,Image-driven/localization trap
2,General,B. Colchicine,Image-driven/localization trap
3,General,D. Fenofibrate,Image-driven/localization trap
4,General,B. Fibric acid derivatives,Image-driven/localization trap
5,General,D. Inhibition of HMG-CoA reductase,Image-driven/localization trap
6,General,A. Recombinant α-galactosidase,Image-driven/localization trap
7,General,B. ↑ Adenylate cyclase activity and ↑ cyclic AMP,Image-driven/localization trap
8,General,D. Niacin,Image-driven/localization trap
9,General,B. Begin all-trans retinoic acid (ATRA) therapy,Image-driven/localization trap
10,General,B. Gastric mucosal erosion,Image-driven/localization trap
11,General,D. Prednisone therapy,Image-driven/localization trap
12,General,C. Immune reconstitution inflammatory syndrome,Image-driven/localization trap
13,General,E. Medication side effect,Image-driven/localization trap
14,General,"D. Stimulates nicotinic acetylcholine receptors, causing persistent depolarization",Image-driven/localization trap
15,General,C. P-450-mediated interaction,Image-driven/localization trap
16,General,C. Enhanced action of the agonist at β-adrenergic receptors,Image-driven/localization trap
17,General,A. Amiodarone,Image-driven/localization trap
18,General,D. Parathion,Image-driven/localization trap
19,General,C. Cardiomyopathy,Image-driven/localization trap
20,General,C. Hydrochlorothiazide,Image-driven/localization trap
21,General,A. Adenosine,Image-driven/localization trap
22,General,A. Continue breastfeeding and start dicloxacillin,Image-driven/localization trap
23,General,D. Serotonin syndrome,Image-driven/localization trap
24,General,E. Verapamil,Image-driven/localization trap
25,General,C. Enoxaparin,Image-driven/localization trap
26,General,B. Drug-induced phototoxic reaction,Image-driven/localization trap
27,General,D. Penicillin,Image-driven/localization trap
28,General,D. Peroxisome proliferator-activated receptors,Image-driven/localization trap
29,General,D. GABA-B receptor agonist,Image-driven/localization trap
30,General,C. Muscarinic receptor agonist,Image-driven/localization trap
31,General,D. Muscarinic receptor agonist,Image-driven/localization trap
32,General,B. Increases circulating von Willebrand factor levels,Image-driven/localization trap
33,General,C. Pioglitazone,Image-driven/localization trap
34,General,C. Administer protamine sulfate,Image-driven/localization trap
35,General,"B. Binds GnRH receptors and causes continuous stimulation, leading to receptor downregulation",Image-driven/localization trap
36,General,B. Ketorolac,Image-driven/localization trap
37,General,B. Discontinue the indomethacin,Image-driven/localization trap
38,General,D. Indirect inhibition of factor Xa via antithrombin binding,Image-driven/localization trap
39,General,"A. Irreversible inhibition of COX-1 in platelets, preventing thromboxane A₂ synthesis",Image-driven/localization trap
40,General,A. Activates peroxisome proliferator-activated receptor alpha (PPAR-α),Image-driven/localization trap
41,General,C. Inhibits mammalian target of rapamycin (mTOR) signaling pathway,Image-driven/localization trap
42,General,E. Phenylephrine,Image-driven/localization trap
43,General,D. MPTP-induced loss of dopaminergic neurons,Image-driven/localization trap
44,General,D. Indirect inhibition of factor Xa via antithrombin binding,Image-driven/localization trap
45,General,B. Acidification; ammonium,Image-driven/localization trap
46,General,D. Induction of cytochrome P450 enzymes,Image-driven/localization trap
47,General,B. Cytosol,Image-driven/localization trap
48,General,B. Desmopressin administration,Image-driven/localization trap
49,General,C. Prednisone,Image-driven/localization trap
50,General,D. Elaboration of a new penicillin-binding protein,Image-driven/localization trap
51,General,C. Mycolic acid synthesis inhibitor; vitamin B6 deficiency,Image-driven/localization trap
52,General,B. Begin intravenous fluid resuscitation,Image-driven/localization trap
53,General,C. Metronidazole and IV normal saline,Image-driven/localization trap
54,General,C. Fetal urine production,Image-driven/localization trap
55,General,C. Antibody binding the heparin-platelet factor 4 complex,Image-driven/localization trap
56,General,B. Direct red cell toxicity due to ribavirin-induced oxidative stress,Image-driven/localization trap
57,General,B. Maternal androgen exposure during pregnancy,Image-driven/localization trap
58,General,B. Didanosine,Image-driven/localization trap
59,General,B. Chronic alveolar inflammation with fibroblast proliferation and collagen deposition,Image-driven/localization trap
60,General,E. Increased cholinergic activity,Image-driven/localization trap
61,General,A. Breast,Image-driven/localization trap
62,General,C. Exogenous supplement use,Image-driven/localization trap
63,General,A. Amoxicillin,Image-driven/localization trap
64,General,A. High-potency topical corticosteroids,Image-driven/localization trap
65,General,A. Calcium disodium EDTA,Image-driven/localization trap
66,General,D. Osteoid osteoma,Image-driven/localization trap
67,General,C. Begin IV esmolol followed by nitroprusside,Image-driven/localization trap
68,General,C. Stimulates α- and β-adrenoreceptors,Image-driven/localization trap
69,General,B. Development of pulmonary fibrosis,Image-driven/localization trap
70,General,A. Central-acting COX inhibitor,Image-driven/localization trap
71,General,B. Inhibit 5-alpha reductase,Image-driven/localization trap
72,General,D. Oxybutynin therapy,Image-driven/localization trap
73,General,D. Mirabegron therapy,Image-driven/localization trap
74,General,B. Eplerenone,Image-driven/localization trap
75,General,C. Inhibition of monoamine oxidase,Image-driven/localization trap
76,General,A. Binds the 30S ribosomal subunit and inhibits initiation and translocation,Image-driven/localization trap
77,General,C. Discontinue the metoclopramide,Image-driven/localization trap
78,General,D. Propranolol,Image-driven/localization trap
79,General,B. Administer N-acetylcysteine,Image-driven/localization trap
80,General,B. Glyburide,Image-driven/localization trap
81,General,A. Decreased leukocyte motility and infiltration into the joint,Image-driven/localization trap
82,General,C. Inhibiting protease activity to prevent cleavage of viral polyproteins,Image-driven/localization trap
83,General,A. Atropine,Image-driven/localization trap
84,General,B. Inhibits adenosine diphosphate (ADP) P2Y₁₂ receptor on platelets,Image-driven/localization trap
85,General,A. Direct agonist at muscarinic acetylcholine receptors,Image-driven/localization trap
86,General,B. Directly inhibits cholesterol absorption at the brush border of enterocytes,Image-driven/localization trap
87,General,C. Disrupts DNA by generating free radicals,Image-driven/localization trap
88,General,C. Primary metabolic acidosis with primary respiratory alkalosis,Image-driven/localization trap
89,General,B. Hyperstabilization of polymerized microtubules,Image-driven/localization trap
90,General,E. Prevents enterohepatic reabsorption of bile acids,Image-driven/localization trap
91,General,D. Prostaglandin-mediated vasodilation,Image-driven/localization trap
92,General,B. β-lactamase production,Image-driven/localization trap
93,General,E. Trichomonas vaginalis Submit,Image-driven/localization trap
94,General,A. Binds ergosterol and forms membrane pores,Image-driven/localization trap
95,General,C. Genetic defect in the skeletal muscle ryanodine receptor,Image-driven/localization trap
96,General,A. Agranulocytosis,Image-driven/localization trap
97,General,C. Impairment of hepatic mitochondrial β-oxidation,Image-driven/localization trap
98,General,E. Urinary 5-hydroxyindoleacetic acid,Image-driven/localization trap
99,General,C. Allergic interstitial nephropathy,Image-driven/localization trap
100,General,"B. ↓ Amino acids, ↓ Bicarbonate, ↓ Glucose, ↓ Phosphate",Image-driven/localization trap
101,General,A. Aplasia cutis,Image-driven/localization trap
102,General,D. Serotonin syndrome,Image-driven/localization trap
103,General,D. Opioid,Image-driven/localization trap
104,General,B. Cocaine,Image-driven/localization trap
105,General,E. Intravenous heparin,Image-driven/localization trap
106,General,A. Allopurinol initiation,Image-driven/localization trap
107,General,B. Ceftriaxone,Image-driven/localization trap
108,General,D. Penicillamine,Image-driven/localization trap
109,General,E. Sertraline,Image-driven/localization trap
110,General,C. Azithromycin,Image-driven/localization trap
111,General,A. Agranulocytosis,Image-driven/localization trap
112,General,C. Direct thrombin inhibition,Image-driven/localization trap
113,General,"D. ↑ Serum osmolality, ↑ ADH",Image-driven/localization trap
114,General,B. Endothelin receptor antagonist,Image-driven/localization trap
115,General,C. Irreversible inhibition of H/K ATPase,Image-driven/localization trap
116,General,D. Inhibition of prostaglandin synthesis in the endometrium,Image-driven/localization trap
117,General,B. Binds the 50S ribosomal subunit and inhibits translocation,Image-driven/localization trap
118,General,B. Chlordiazepoxide,Image-driven/localization trap
119,General,B. Estrogen-mediated upregulation of hepatic synthesis of clotting factors,Image-driven/localization trap
120,General,B. Binding to β-tubulin to inhibit microtubule polymerization,Image-driven/localization trap
121,General,A. Abciximab,Image-driven/localization trap
122,General,E. Inhibition of 50S subunit via blockade of translocation during protein synthesis,Image-driven/localization trap
123,General,B. Assess how much food he is eating during these occasions,Image-driven/localization trap
124,General,D. Preexisting clotting factors must first be cleared,Image-driven/localization trap
125,General,D. Mefloquine,Image-driven/localization trap
126,General,D. Extended-spectrum β-lactamase production,Image-driven/localization trap
127,General,C. Hyperbaric oxygen therapy,Image-driven/localization trap
128,General,C. Ensure adequate hydration with isotonic fluids,Image-driven/localization trap
129,General,C. Targets BCR-ABL tyrosine kinase,Image-driven/localization trap
130,General,D. Pediatric viral illness,Image-driven/localization trap
131,General,"C. Impaired activation of clotting factors II, VII, IX, and X",Image-driven/localization trap
132,General,B. Oral acyclovir,Image-driven/localization trap
133,General,B. Neutropenia,Image-driven/localization trap
134,General,E. Mutated penicillin-binding protein,Image-driven/localization trap
135,General,B. Prescribe oral metronidazole,Image-driven/localization trap
136,General,A. Ethambutol,Image-driven/localization trap
137,General,A. A,Image-driven/localization trap
138,General,B. B,Image-driven/localization trap
139,General,C. Gentamicin,Image-driven/localization trap
140,General,C. PDE-5 inhibitors,Image-driven/localization trap
141,General,D. Preferential dilation of precapillary arterioles over postcapillary venules,Image-driven/localization trap
142,General,C. Anti-histone antibodies,Image-driven/localization trap
143,General,A. Corticosteroid myopathy,Image-driven/localization trap
144,General,C. Pulmonary fibrosis,Image-driven/localization trap
145,General,E. Verapamil,Image-driven/localization trap
146,General,B. Diffuse interstitial fibrosis with lymphocytic infiltration,Image-driven/localization trap
147,General,A. Add inhaled fluticasone to his regimen,Image-driven/localization trap
148,General,D. Penicillin,Image-driven/localization trap
149,General,B. Coronary vasoconstriction,Image-driven/localization trap
150,General,D. ,Image-driven/localization trap
151,General,C. Impaired glomerular perfusion from loss of angiotensin II-mediated efferent vasoconstriction,Image-driven/localization trap
152,General,C. Doxorubicin,Image-driven/localization trap
153,General,C. Atropine,Image-driven/localization trap
154,General,B. Administer intravenous atropine,Image-driven/localization trap
155,General,D. Inhibits xanthine oxidase,Image-driven/localization trap
156,General,E. Upregulating LDL receptors on hepatocytes,Image-driven/localization trap
157,General,B. Blocks muscarinic receptors to reduce detrusor overactivity,Image-driven/localization trap
158,General,E. Selectively blocks leukotriene receptors,Image-driven/localization trap
159,General,B. Cilostazol,Image-driven/localization trap
160,General,B. Oral diazepam,Image-driven/localization trap
161,General,B. Antagonist at NMDA receptors,Image-driven/localization trap
162,General,E. Substance P,Image-driven/localization trap
163,General,E. Prevention of smooth muscle cell proliferation within the intima,Image-driven/localization trap
