Front	Back	Tags
"Choice C: Like femoral neck fractures, intertrochanteric fractures are more common in older adults and present with a shortened and externally rotated leg. However, these fractures typically involve swelling, bruising, and bony tenderness over the greater trochanter, which this patient lacks. The injury mechanism—falling from a height—is consistent with dislocation in a younger adult. Furthermore, intertrochanteric fractures rarely cause significant abduction, which is noted here. The absence of crepitus or thigh deformity further weakens this option. Choice D: Posterior dislocations are much more common and usually occur in dashboard injuries with the hip flexed and adducted. They present with a shortened, internally rotated leg. In contrast, this patient’s leg is externally rotated and abducted, which is incompatible with posterior dislocation. Additionally, the injury mechanism—a fall onto an extended leg—supports an anterior, not posterior, dislocation. This option can be ruled out based on the clinical findings alone. Choice E: Quadriceps tendon rupture typically occurs in older individuals or those with systemic disease (eg, diabetes, chronic renal failure), often during sudden forceful knee extension. Patients present with inability to actively extend the knee, a suprapatellar gap, and swelling over the anterior knee—not the hip. In contrast, this patient has full
A. Anterior hip dislocation strength distally and no signs of patellar displacement or extensor mechanism disruption. Furthermore, his symptoms center around the hip joint and are associated with a shortened, externally rotated limb after trauma—features inconsistent with quadriceps injury. This option does not explain the limb positioning or mechanism and should be B. Femoral neck fracture excluded. C. Intertrochanteric fracture Bottom line: D. Posterior hip dislocation Anterior hip dislocation presents with a shortened, externally rotated, and abducted leg after trauma. It occurs less frequently than posterior dislocation but should be suspected after extension-abduction injuries. E. Quadriceps tendon rupture Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e Subject System Topic"	"A. Anterior hip dislocation strength distally and no signs of patellar displacement or extensor mechanism disruption. Furthermore, his symptoms center around the hip joint and are associated with a shortened, externally rotated limb after trauma—features inconsistent with quadriceps injury. This option does not explain the limb positioning or mechanism and should be

The correct answer is A"	General
"not typically present with Cushing triad (hypertension, bradycardia, irregular respirations) unless they progress significantly. Choice C: Le Fort fractures involve the midface and are typically caused by high-impact trauma, often with significant maxillofacial swelling, step-offs, and mobility of the midface. While Le Fort II may involve the nasal bridge and maxilla, it does not explain the CSF otorrhea or Battle sign, and it usually lacks signs of increased ICP such as bradycardia or hypertension. Moreover, these fractures are diagnosed via facial CT, and the systemic findings in this case point toward a more severe cranial base injury rather than a facial fracture alone. Choice D: Orbital blowout fractures occur from direct blunt trauma to the globe or orbit, leading to herniation of orbital contents into the maxillary sinus. Clinical findings include diplopia, enophthalmos, or restricted eye movement, not bradycardia, CSF leakage, or Battle sign. While periorbital ecchymosis may be seen, it lacks the bilateral symmetry
A. Basilar skull fracture and systemic implications seen in raccoon eyes due to a basilar skull fracture. This diagnosis does not account for the CSF rhinorrhea or otorrhea. B. Epidural hematoma Choice E: Subdural hematomas are typically associated with shearing of bridging veins, especially in elderly or shaken infants. The presentation can be more gradual in onset and includes altered mental status or focal deficits. However, this condition does not produce Battle sign, raccoon eyes, or CSF leakage, nor is it typically associated with signs of base of skull involvement. While increased ICP can occur, the distinctive trauma signs on physical exam make basilar skull fracture a better fit. C. Le Fort type II fracture D. Orbital blowout fracture Bottom line: E. Subdural hematoma Basilar skull fractures often present with Battle sign, raccoon eyes, and CSF rhinorrhea or otorrhea. Associated Cushing reflex (hypertension, bradycardia, irregular respirations) suggests increased ICP. Diagnosis is largely clinical, but CT is confirmatory. Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e Subject System Topic"	"C. Le Fort type II fracture

A 22-year-old man comes to clinic for a routine check-up before traveling abroad"	General
"Choice B: Skeletal muscle hyperplasia—the generation of new muscle fibers—is not a recognized physiologic response to training in adult humans. Most strength gains and muscle growth in resistance training come from hypertrophy, where the size of individual fibers increases. Satellite cells do become activated in response to mechanical load and help support hypertrophy by donating nuclei, but they do not cause new fiber formation. While animal models may demonstrate some hyperplasia, human muscle fibers respond to training primarily by getting larger, not by increasing in number. Given this, the histologic finding of hyperplasia is not expected in this athlete. Choice D: These are hallmark changes seen in endurance-trained muscle. With prolonged aerobic activity, the body adapts by enhancing oxygen delivery and usage—achieved through capillary angiogenesis and increased mitochondrial biogenesis. These changes allow slow-twitch (type I) fibers to sustain activity over time with greater efficiency. However, this athlete’s training is anaerobic in nature, prioritizing strength and power rather than oxidative endurance. Type II (fast-twitch) fibers dominate such activity, and they do not adapt by increasing mitochondria or capillaries.
A. Decreased muscle fiber diameter with increased oxidative enzymes Choice E: Type I fibers are slow-twitch, fatigue-resistant, and rich in mitochondria and myoglobin, making them ideal for aerobic endurance activities such as long-distance running or cycling. The predominance of these fibers occurs in response to sustained low-intensity training that emphasizes oxygen delivery and long-term energy efficiency. In B. Hyperplasia of muscle fibers with increased satellite cell proliferation contrast, this patient is performing high-intensity, low-repetition strength training—an activity that relies on type II (fast-twitch) fibers. Type II fibers generate more power over short durations but fatigue more quickly and do not exhibit the same oxidative properties. His muscle adaptation would favor hypertrophy of type II fibers rather than a shift toward type I predominance. C Increased cross-sectional area of muscle fibers without new fiber . formation Bottom line: D. Increased mitochondrial content with capillary proliferation Skeletal muscle hypertrophy is the primary adaptation to anaerobic resistance training. Fiber number remains constant; growth occurs via increased cross-sectional area of existing fibers. Aerobic training (not shown here) leads to increased mitochondria, capillaries, and oxidative enzymes. E. Type I fiber predominance with increased fatigue resistance Histology Musculoskeletal (Miscellaneous) None Subject System Topic"	"C. 

The correct answer is C"	General
"Choice B: Like the ATFL, the calcaneofibular ligament is a lateral stabilizer of the ankle that prevents inversion. It is injured in more severe or combined inversion injuries. This patient has no lateral tenderness or instability, and the mechanism of injury (eversion) is inconsistent with a calcaneofibular injury. The x-ray shows medial, not lateral, joint space changes. Furthermore, the patient’s symptoms and physical findings are better explained by medial structure damage. Choice D: The fibularis (peroneus) longus tendon is located laterally and assists in plantarflexion and eversion of the foot. While eversion could theoretically stress this tendon, it is not the primary restraint to eversion forces—that role belongs to the deltoid ligament. There is no tenderness along the lateral leg or fibular shaft, and no signs of peroneal nerve involvement. The image and clinical findings point toward a medial ligamentous injury rather than a lateral tendon issue. Choice E: The posterior tibial tendon courses behind the medial malleolus and supports the medial arch. While dysfunction here leads to adult-acquired flatfoot, it usually presents with progressive arch collapse, not acute traumatic onset. The Gerber lift test may reproduce pain in chronic cases, but this patient’s presentation is acute following trauma, Which of the following structures is most likely injured? with radiologic widening of the medial ankle joint. There’s no arch collapse or long-term history to suggest tendon degeneration. Bottom line: The deltoid ligament stabilizes the medial ankle and is injured with forced eversion. Medial tenderness and increased medial joint space on x-ray are classic findings. Always consider mechanism (eversion vs inversion) and localize tenderness to guide diagnosis.
A. Anterior talofibular ligament Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e B. Calcaneofibular ligament Subject System Topic C. Deltoid ligament D. Fibularis longus tendon E. Posterior tibial tendon A 58-year-old woman comes to the clinic for follow-up of joint symptoms. Over the past few years, she has experienced intermittent pain and swelling in her hands, wrists, and knees. These symptoms tend to worsen in the mornings and improve slightly throughout the day. She has had several similar flares in the past that lasted a few weeks and resolved with over-the-counter"	"C. Deltoid ligament

medications"	General
"Choice B: Decreasing body weight may help reduce overall joint strain and systemic inflammation. However, the direct impact of weight loss on RA flare frequency is less well established than smoking cessation. Obesity may lower response to DMARDs but is not as strongly correlated with recurrent flares. interventions would most likely decrease this patient’s risk of recurrent Choice D: Increasing physical activity can improve functional status and reduce stiffness in RA patients, particularly during periods of remission. However, it does not specifically reduce the likelihood of inflammatory flares, especially in patients with poorly controlled systemic disease. disease flares? Choice E: Initiating hydroxychloroquine therapy is a reasonable DMARD for mild RA, especially with predominant fatigue or skin manifestations, but it is generally not used alone in moderate to severe cases. It also takes time to become effective and does not address environmental triggers like smoking. Choice F: Starting methotrexate therapy is standard first-line pharmacologic treatment for RA and is indicated in this patient. However, the question specifically asks about reducing the risk of recurrent flares, and methotrexate alone is less effective if smoking is not addressed. Smoking also reduces the efficacy of methotrexate. Bottom line:
A. Avoiding alcohol consumption Smoking is a modifiable risk factor that increases the risk of rheumatoid arthritis flares and reduces treatment efficacy. Smoking cessation should be a key part of RA management. Effective RA control includes both pharmacologic and lifestyle interventions. B. Decreasing body weight Risk Musculoskeletal (Arthritis and Non C. Decreasing smoking factors spondyloarthropathies) e Subject System Topic D. Increasing physical activity E. Initiating hydroxychloroquine therapy F. Starting methotrexate therapy A 70-year-old man comes to the outpatient clinic because of a bulge on the lower"	"D. Increasing physical activity

left side of his abdomen"	General
"Choice B: Epigastric hernias occur in the midline above the umbilicus, due to a defect in the linea alba, and typically present as a small nodule between the xiphoid process and the umbilicus. These hernias are often asymptomatic and rarely reducible. This patient's swelling is in the lower quadrant, not the epigastric region, and is located lateral to the rectus abdominis, which is not consistent with an epigastric hernia. Moreover, epigastric hernias are more common in younger adults and tend to be smaller and firmer. The physical exam in this case does not support this diagnosis. Choice C: Incisional hernias occur at the site of previous surgical incisions, most commonly after midline laparotomies, and typically involve defects in the abdominal wall fascia. This patient has no history of abdominal surgery, which is necessary to support the diagnosis of an incisional hernia. Additionally, the hernia’s location lateral to the rectus abdominis, with no scar or surgical history, makes this diagnosis untenable. Incisional hernias can occur in a variety of locations but require a history of surgery or trauma.
A. Direct inguinal hernia Choice E: Umbilical hernias are midline protrusions through the umbilical ring, most commonly seen in infants and obese adults. They present as a bulge directly at the umbilicus, and are easily distinguishable by their central location. This patient’s hernia is several centimeters lateral to the rectus muscle and not located in the midline or at the umbilical area. The absence of central bulging rules out an umbilical defect. Additionally, this type of hernia is often associated with increased intra-abdominal pressure, which is not suggested here. B. Epigastric hernia C. Incisional hernia Bottom line: D. Spigelian hernia Spigelian hernias occur lateral to the rectus abdominis at the linea semilunaris, most often in older adults. The medial border of the hernia is the rectus abdominis, which is the highest-yield anatomic point to remember. E. Umbilical hernia Anatomy Musculoskeletal (Structural disorders) None Subject System Topic"	"C. Incisional hernia Bottom line:

The correct answer is C"	General
"accompanying sensory changes, which are not characteristic of ALS, as ALS does not cause sensory loss. Moreover, ALS is less likely to present with isolated radicular-type pain in the absence of other findings. Choice B: Carpal tunnel syndrome (CTS) can cause numbness, tingling, and weakness in the hand, especially the thumb, index, and middle fingers, due to median nerve compression at the wrist. However, this patient’s symptoms involve difficulty with grip and fine motor control without typical nocturnal worsening or thenar atrophy. Additionally, the distribution of symptoms suggests more proximal involvement and includes aching that radiates from the neck to the hand, which is not characteristic of CTS. Choice D: Cervical spondylotic myelopathy refers to spinal cord compression due to cervical canal narrowing and typically presents with signs of upper motor neuron involvement: spasticity, hyperreflexia, positive Babinski sign, or gait disturbances. This patient lacks these features and instead presents with isolated radicular symptoms (localized sensory and motor issues in the hand), making cord involvement unlikely. Myelopathy would also tend to affect both sides and cause more global deficits.
A. Amyotrophic lateral sclerosis Choice E: MS is a demyelinating disease that affects the central nervous system and usually presents in younger women with episodes of neurologic dysfunction separated in time and space. This patient’s age, the chronic, progressive, unilateral symptoms, and lack of visual or sensory disturbances elsewhere argue against MS. Moreover, MS rarely presents with isolated radicular hand symptoms or focal nerve root compression signs. B. Carpal tunnel syndrome C. Cervical foraminal stenosis Bottom line: D. Cervical spondylotic myelopathy Cervical foraminal stenosis is caused by nerve root compression at the neural foramina due to degenerative changes. Presents with unilateral weakness, sensory loss, and pain in a dermatomal/radicular distribution without signs of cord compression. MRI of the cervical spine is the diagnostic test of choice to visualize foraminal narrowing and nerve root impingement. E. Multiple sclerosis Anatom Musculoskeletal (Arthritis and Non y spondyloarthropathies) e Subject System Topic"	"C. Cervical foraminal stenosis Bottom line:

A 42-year-old woman presents to the clinic with difficulty moving her right index The correct answer is C"	General
"patient? inability to extend the index finger, which is not present in this patient. Instead, the problem is an isolated flexion deficit at the DIP joint, with preserved extension and normal function of the rest of the hand. The mechanism of injury also points toward a volar-side flexor problem rather than a dorsal extensor issue. There is no loss of finger extension, no dorsal tenderness, and no signs of tendon rupture on the extensor side. Choice D: The flexor digitorum superficialis is responsible for flexion at the proximal interphalangeal joints of the fingers. It inserts on the middle phalanx, and injury would impair PIP flexion while leaving distal interphalangeal flexion intact, because the flexor digitorum profundus still acts on the distal phalanx. In this case, the patient can flex the PIP joint normally but is unable to flex the DIP joint, which essentially rules out the FDS as the source of injury. Furthermore, FDS injuries usually do not occur in isolation without associated trauma or visible swelling, and they tend to present with PIP-specific loss of function. The clear preservation of PIP motion here confirms that the tendon is functioning properly. Choice E: The palmaris longus is a vestigial forearm muscle that inserts into the palmar aponeurosis and acts as a weak wrist flexor. Importantly, it does not insert into any phalanges and plays no role in finger flexion or extension. It is often absent unilaterally or bilaterally in healthy individuals, and its absence causes no functional deficit. Because this
A. Extensor digitorum muscle does not cross the finger joints or contribute to digital motion, injury to it would not result in the selective loss of DIP flexion seen in this patient. There is also no reported weakness of wrist flexion in the case, and the mechanism does not suggest proximal forearm trauma. Given that palmaris longus is not involved in DIP function, it is B. Extensor indicis anatomically and clinically irrelevant to this presentation. C. Flexor digitorum profundus Bottom line: D. Flexor digitorum superficialis FDP is the only tendon that flexes the DIP joint; loss of DIP flexion points to FDP injury. FDS flexes the PIP joint; if PIP flexion is intact, FDS is preserved. This case demonstrates classic tendon anatomy tested on USMLE, with presentation and localization guiding the diagnosis. E. Palmaris longus Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e Subject System Topic"	"D. Flexor digitorum superficialis FDP is the only tendon that flexes the DIP joint; loss of DIP flexion points to FDP injury. FDS flexes the PIP joint; if PIP flexion is intact, FDS is preserved. This case demonstrates classic tendon anatomy tested on USMLE, with presentation and localization guiding the diagnosis.

The correct answer is D"	General
"capillary refill. This injury does not explain a faint radial pulse and evolving compartment pain after an elbow-level fracture. Choice B: Midshaft radius fractures are forearm injuries that primarily threaten interosseous nerve branches (anterior or posterior) causing weakness of pinch or finger extension; vascular compromise of the brachial artery is not expected. A related pattern is the Galeazzi fracture–dislocation (distal radial fracture with distal radioulnar joint disruption), presenting with wrist pain/instability rather than elbow ischemia. Examination typically shows focal forearm deformity and neurologic deficits without diminished brachial inflow. This location does not account for reduced distal pulses after elbow trauma. Choice C: Proximal third ulna fractures are hallmark of the Monteggia fracture–dislocation (ulnar shaft fracture with radial head dislocation), often injuring the posterior interosseous nerve and causing finger/thumb extension weakness. The vascular exam usually remains normal because the brachial artery is proximal and spared. Patients present with
A. Distal third of the humeral shaft elbow pain, limited rotation, and neurologic deficits rather than signs of forearm ischemia. This pattern does not match diminished radial pulse and delayed capillary refill following a hyperextension elbow injury. Choice E: Surgical neck fractures of the humerus threaten the axillary nerve and posterior circumflex humeral artery, leading to deltoid weakness (loss of shoulder abduction beyond 15°) and decreased sensation over the lateral shoulder; they are also seen after anterior glenohumeral dislocation. Distal pulses in the forearm are preserved because the B. Midshaft of the radius injury is proximal to the elbow arterial supply. The presentation centers on shoulder pain and contour loss, not elbow swelling with compromised distal perfusion. This site cannot explain brachial artery compromise after a fall on an outstretched hand. C. Proximal third of the ulna Bottom line: D. Supracondylar region of the humerus A supracondylar fracture of the humerus, most often from a fall on an outstretched hand in children, can injure the brachial artery and median nerve as they pass anterior to the distal humerus. Vascular injury leads to diminished radial pulse, prolonged capillary refill, and risk of forearm compartment syndrome. E. Surgical neck of the humerus Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e Subject System Topic"	"B. Midshaft of the radius injury is proximal to the elbow arterial supply. The presentation centers on shoulder pain and contour loss, not elbow swelling with compromised distal perfusion. This site cannot explain brachial artery compromise after a fall on an outstretched hand.

The correct answer is B"	General
"following is the most significant risk factor for this patient’s condition?
A. Breech presentation at birth B. High BMI C. History of asthma treated with corticosteroids D. Learning disability X-ray shows the “ice cream slipping off its cone” — SCF E. E. Sedentary lifestyle Wrong answer explanations: Choice A: Breech presentation is a known risk factor for developmental dysplasia of the hip (DDH), particularly in female infants. In DDH, the femoral head is unstable or dislocated from the acetabulum due to abnormal intrauterine positioning, and it usually presents during infancy or early childhood. Diagnosis is confirmed by ultrasound or X-ray, and treatment involves bracing or surgical correction. Although both DDH and SCFE involve hip pathology, they have different pathophysiology, age of onset, and risk profiles. Breech positioning is unrelated to the development of SCFE in adolescents. Choice C: Prolonged systemic corticosteroid use is strongly associated with avascular necrosis (AVN) due to its role in disrupting the microcirculation of the femoral head and impairing bone turnover. AVN often presents with deep-seated hip pain and can lead to collapse of the femoral head if untreated. However, inhaled corticosteroids used for asthma management, as in this case, are not systemically absorbed in amounts sufficient to affect bone vasculature. Moreover, AVN is distinct from SCFE in terms of radiographic findings, typical age group, and biomechanical etiology. Choice D: Learning disabilities may be associated with endocrinopathies or syndromic conditions (e.g., hypothyroidism, Down syndrome, Prader-Willi syndrome) that can predispose to SCFE. However, not all individuals with learning difficulties have these conditions. In the absence of clinical signs of hypothyroidism, such as fatigue, constipation, delayed growth, or cold intolerance, or dysmorphic features suggestive of a genetic syndrome, the presence of a learning disability alone is insufficient to implicate it as the primary risk factor in this case. Choice E: A sedentary lifestyle can lead to deconditioning, obesity, and poor musculoskeletal strength, indirectly increasing the risk for orthopedic problems. However, SCFE specifically results from increased mechanical stress across the hypertrophic zone of the femoral growth plate, leading to epiphyseal displacement. While this child’s screen time may contribute to weight gain, it is the elevated BMI that directly increases the axial load on the growth plate and is the key predisposing factor. Thus, inactivity is a contributing factor but not the most significant one. Bottom line: Slipped capital femoral epiphysis (SCFE) typically affects obese adolescent boys and presents with progressive hip or referred knee pain, limited hip motion, and an antalgic gait. The most significant risk factor is a high body mass index (BMI), which increases shear stress across the growth plate. Diagnosis is confirmed by imaging, and the definitive management is urgent surgical stabilization with in situ pinning to prevent further slippage and complications such as avascular necrosis. Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e Subject System Topic"	"C. History of asthma treated with corticosteroids

A 47-year-old woman comes to the outpatient clinic due to pain in her right heel that has been bothering her for the past two months"	General
