Deck	Front	Back	Tags
Pharma	A 6-year-old boy is undergoing induction chemotherapy for newly diagnosed acute lymphoblastic leukemia.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Inhibits microtubule polymerization during M phase</b><br><br>Vincristine inhibits microtubule polymerization, arresting cells in M phase (metaphase) and disrupting mitosis. Its mechanism explains both its anticancer effects and its classic neurologic toxicity (e.g., peripheral neuropathy).	pharma::biochemistry_general_principles_cell_and_molecular_biology
Pharma	A 58-year-old man presents to the emergency department with severe pain, redness, and swelling in his right big toe that began suddenly 24 hours ago.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>Colchicine inhibits microtubules and is the answer for acute gout if the patient cannot tolerate the NSAID indomethacin due to Hx of GI bleed, renal insufficiency, or NSAID allergy.	pharma::biochemistry_general_principles_dna_rna_nucleic_acid
Pharma	<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Indomethacin</b><br><br>Fibrates are the most effective agents at lowering TGAs. They're generally used with TGAs over 300 mg/dL. They can cause myopathy and hepatotoxicity, with increased risk when combined with statins due to a P-450 interaction. Fibrates can also cause cholesterol stones.	pharma::biochemistry_general_principles_lipid_metabolism
Pharma	A 52-year-old man comes to the clinic for a routine check-up.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Cholestyramine</b><br><br>Hypertriglyceridemia-induced pancreatitis develops when TG >1,000 mg/dL cause chylomicron-mediated pancreatic injury. Acute care is supportive with possible rapid TG lowering; long-term prevention requires TG <500 mg/dL, best achieved with fibrates as first-line therapy.	pharma::biochemistry_general_principles_lipid_metabolism
Pharma	A 46-year-old man presents to the emergency department with 18 hours of severe epigastric abdominal pain radiating to the back.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Omega-3 fatty acids</b><br><br>Statin-induced myopathy occurs due to HMG-CoA reductase inhibition, which lowers cholesterol and coenzyme Q10, impairing muscle energy production. It causes proximal muscle pain with elevated CK soon after therapy begins. Prompt detection and stopping the drug prevent rhabdomyolysis and kidney injury.	pharma::biochemistry_general_principles_lipid_metabolism
Pharma	A 19-year-old man presents with a 7-year history of recurrent burning pain in his hands and feet, exacerbated by exercise and heat.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>Fabry disease is an X-linked recessive lysosomal storage disorder caused by α-galactosidase A deficiency, leading to ceramide trihexoside accumulation in vascular endothelium, kidneys, heart, and peripheral nerves. Clinical features include angiokeratomas, acroparesthesias, hypohidrosis, proteinuric renal disease, and left ventricular hypertrophy. Recombinant α-galactosidase is the specific treatment and should be initiated early to reduce progression and preserve organ function.	pharma::general
Pharma	<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Recombinant arylsulfatase A</b><br><br>β-blocker overdose causes bradycardia and hypotension by blocking β-adrenergic receptors and reducing intracellular cAMP. Glucagon bypasses this blockade by directly activating adenylate cyclase, increasing cAMP, and restoring heart rate and contractility independent of β-receptor signaling. This makes it the antidote of choice in hemodynamically unstable β-blocker toxicity.	pharma::biochemistry_general_principles_receptors_extracellular_matrix_molecules
Pharma	A 47-year-old man is brought to the emergency department by EMS after being found unresponsive at home.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>↓ Influx of calcium at the neuromuscular junction</b><br><br>Niacin can cause gout.	pharma::general
Pharma	A 58-year-old man comes to the clinic for lipid management.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Fenofibrate</b><br><br>Acute promyelocytic leukemia can cause DIC, particularly during initial treatment. The most urgent step is to begin all-trans retinoic acid (ATRA) to halt promyelocyte-driven coagulopathy and reduce early mortality.	pharma::biochemistry_general_principles_vitamins_cofactors_nutrients
Pharma	A 25-year-old man presents to the emergency department with nausea and vomiting that began earlier this morning.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Gastric mucosal erosion</b><br><br>Acute erosive gastropathy presents with hematemesis due to superficial mucosal injury from substances like aspirin, alcohol, and cocaine. It differs from deeper mucosal injury or variceal bleeding and typically lacks systemic findings. Treatment includes discontinuation of irritants and proton pump inhibitors for mucosal healing.	pharma::gastroenterology_gastroesophageal_disorders
