qid,original_id,topic,trap_type,answer_letter,answer_text
1,1.1,General,pattern_recognition,A,"Anterior hip dislocation strength distally and no signs of patellar displacement or extensor mechanism disruption. Furthermore, his symptoms center around the hip joint and are associated with a shortened, externally rotated limb after trauma—features inconsistent with quadriceps injury. This option does not explain the limb positioning or mechanism and should be"
2,2.1,General,pattern_recognition,C,Le Fort type II fracture
3,3.1,General,pattern_recognition,C,
4,7.1,General,pattern_recognition,C,Deltoid ligament
5,8.1,General,pattern_recognition,D,Increasing physical activity
6,9.1,General,pattern_recognition,C,Incisional hernia Bottom line:
7,10.1,General,pattern_recognition,C,Cervical foraminal stenosis Bottom line:
8,11.1,General,pattern_recognition,D,"Flexor digitorum superficialis FDP is the only tendon that flexes the DIP joint; loss of DIP flexion points to FDP injury. FDS flexes the PIP joint; if PIP flexion is intact, FDS is preserved. This case demonstrates classic tendon anatomy tested on USMLE, with presentation and localization guiding the diagnosis."
9,12.1,General,pattern_recognition,B,"Midshaft of the radius injury is proximal to the elbow arterial supply. The presentation centers on shoulder pain and contour loss, not elbow swelling with compromised distal perfusion. This site cannot explain brachial artery compromise after a fall on an outstretched hand."
10,13.1,General,pattern_recognition,C,History of asthma treated with corticosteroids
11,14.1,General,pattern_recognition,E,Tarsal tunnel syndrome Anatomy Musculoskeletal (Miscellaneous) None Subject System Topic
12,15.1,General,pattern_recognition,D,Sickle cell avascular necrosis collapse of the femoral head rather than posterior displacement. Sickle cell disease–related hip pain does not cause the physical exam findings described here.
13,16.1,General,pattern_recognition,C,"Loss of proteoglycan matrix with uric acid crystal deposition Choice E: Synovial hyperplasia with lymphoid follicle formation occurs in chronic inflammatory arthritides such as RA and juvenile idiopathic arthritis. Persistent immune activation promotes angiogenesis and organized lymphoid aggregates, which release pro-inflammatory cytokines, perpetuating joint destruction. Clinically, these conditions present with joint swelling, warmth, tenderness, prolonged morning stiffness, and systemic symptoms. Lab findings include elevated acute-phase reactants and sometimes autoantibodies. This patient’s mechanical, activity-related pain and normal inflammatory markers exclude inflammatory synovitis as the primary pathology."
14,18.1,General,pattern_recognition,A,"Anterior cruciate ligament tear Choice E: Patellar subluxation generally results from lateral displacement of the patella, often in individuals with ligamentous laxity or malalignment. It causes anterior knee pain, sometimes with swelling and a sensation of the kneecap “slipping out.” This injury often occurs with twisting or direct trauma to the medial patella, not a lateral-to-medial"
15,19.1,General,pattern_recognition,D,Synovial sarcoma Subject System Topic
16,20.1,General,pattern_recognition,E,"Ulnar nerve Anato Musculoskeletal (Normal structure and function of the No my musculoskeletal system) ne Subject System Topi c A 58-year-old man comes to the neurology clinic with several months of worsening weakness in his dominant right hand. He works as a carpenter and has noticed increasing difficulty using his tools, particularly when trying to hold small nails between his fingers or when stabilizing pieces of wood that require hand dexterity. He frequently drops screws or washers, especially when trying to pick them up with his ring and little fingers. Over time, he has also observed a slow but progressive shrinkage of the muscles between his fingers and around the base of his little finger."
17,21.1,General,pattern_recognition,C,Radial nerve
