QuestionID,TrapType,Description
1,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
2,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
3,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
4,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
5,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
6,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
7,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
8,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
9,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
10,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
11,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
12,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
13,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
14,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
15,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
16,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
17,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
18,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
19,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
20,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
21,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
22,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
23,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
24,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
25,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
26,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
27,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
28,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
29,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
30,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
31,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
32,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
33,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
34,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
35,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
36,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
37,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
38,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
39,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
40,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
41,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
42,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
43,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
44,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
45,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
46,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
47,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
48,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
49,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
50,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
51,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
52,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
53,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
