qid,original_id,topic,trap_type,answer_letter,answer_text
1,1.1,General,pattern_recognition,A,Aqueductal stenosis
2,2.1,General,pattern_recognition,C,Atrophy of the substantia nigra Anatomy Neurology (Neurodegenerative disorders and dementias) None Subject System Topic
3,3.1,General,pattern_recognition,E,"T1 Wrong answer explanations: Choice A: C5 innervates the deltoid and biceps, with sensory distribution over the lateral upper arm. C5 radiculopathy causes weakness in shoulder abduction and elbow flexion, not the triceps or wrist extensors. The sensory loss would be proximal, not extending to the hand. Choice B: C6 affects the biceps, brachioradialis, and wrist extensors, and provides sensation to the lateral forearm and thumb/index fingers. C6 involvement may include reduced biceps or brachioradialis reflexes and lateral hand paresthesias, but it spares the middle finger and triceps. Choice D: C8 controls finger flexors and intrinsic hand muscles, with sensory distribution over the medial forearm and fourth/fifth digits. Weakness would be seen in grip strength and finger flexion, not wrist extension or triceps strength. This patient's distribution does not match C8. Choice E: T1 innervates the intrinsic hand muscles, including those responsible for finger abduction and fine motor control. T1 radiculopathy causes sensory loss over the medial arm and may cause difficulty with hand coordination, but not triceps weakness or middle finger numbness. Bottom line: C7 radiculopathy presents with triceps weakness, diminished triceps reflex, wrist extensor weakness, and numbness in the middle finger. It is typically due to foraminal narrowing at the C6–C7 level, and most cases improve with conservative therapy. Anatomy Neurology (Spinal cord disorders) None Subject System A 68-year-old man is brought to the emergency department by his wife due to confusion and difficulty attending to his surroundings. She reports that since waking up this morning, he has ignored food on the left side of his plate"
4,4.1,General,pattern_recognition,C,"Left occipital lobe Choice H: Located in the dominant posterior temporal lobe, this area governs language comprehension. Lesions result in fluent aphasia, not spatial neglect or visuospatial distortion."
5,5.1,General,pattern_recognition,C,"Collapse of intracerebral vessels from rising cranial pressure The Cushing reflex is the triad of hypertension, bradycardia, and irregular respirations. It results from compression of cerebral vessels and brainstem structures due to rising intracranial pressure."
6,8.1,General,pattern_recognition,B,Median nerve
7,9.1,General,pattern_recognition,D,Post-synaptic receptor upregulation Bottom line:
8,10.1,General,pattern_recognition,A,"Anterior horn cell This presentation is classic for Bell’s palsy, an acute peripheral facial nerve palsy causing weakness of both the upper and lower face with preserved sensation."
9,11.1,General,pattern_recognition,C,Lateral hypothalamus
10,12.1,General,pattern_recognition,B,Caudate nucleus Anatomy Neurology (Strokes & Stroke-related stuff) None
11,13.1,General,pattern_recognition,C,Multiple sclerosis
12,17.1,General,pattern_recognition,E,Pituitary adenoma Pathology Neurology (Headache) None Subject System Topic
13,18.1,General,pattern_recognition,E,Right optic nerve
