Front	Back	Tags
A 35-year-old construction worker is brought to the emergency department after falling approximately 10 feet from scaffolding and landing on his feet with his right leg extended and abducted. He immediately felt severe pain in the groin and hip and was unable to walk or bear weight. He denies head trauma or loss of consciousness. He has no prior orthopedic history and is otherwise healthy. No medications or substance use are reported. On physical examination, he is alert and hemodynamically stable. The right lower extremity appears shortened and is held in a position of abduction and external rotation at the hip. There is no swelling or deformity of the thigh. Distal pulses are intact and equal bilaterally. Sensation and motor strength are preserved distally in the affected limb. There is tenderness over the anterior hip, and passive movement of the joint elicits pain. Radiographs are pending. Which of the following is the most likely diagnosis?	Anterior hip dislocation presents with a shortened, externally rotated, and abducted leg after trauma. It occurs less frequently than posterior dislocation but should be suspected after extension-abduction injuries.<br><br>Correct answer letter: A	msk::hip
A 7-year-old boy is brought to the emergency department after falling off a bunk bed and striking his head on the hardwood floor from a height of approximately 6 feet. His mother reports that he briefly lost consciousness but awoke within a few minutes and has since been drowsy and minimally responsive. On examination, his Glasgow Coma Scale score is 10. He has bilateral periorbital ecchymoses and retroauricular bruising behind the left ear. Clear fluid is observed draining from his left nostril and right ear. His vital signs are: temperature 36.9°C (98.4°F), blood pressure 152/96 mm Hg, heart rate 48/min, and respiratory rate 8/min. Noncontrast CT of the head is pending. Which of the following is the most likely diagnosis?	Basilar skull fractures often present with Battle sign, raccoon eyes, and CSF rhinorrhea or otorrhea. Associated Cushing reflex (hypertension, bradycardia, irregular respirations) suggests increased ICP. Diagnosis is largely clinical, but CT is confirmatory.<br><br>Correct answer letter: A	msk::fracture_trauma
A 22-year-old man comes to clinic for a routine check-up before traveling abroad. He has no complaints. He is a healthy college student who recently began competing in local strongman events. For the past several months, he has followed a structured training program focused on short, high-intensity sets involving maximal effort lifting, with exercises such as weighted sled pushes, deadlifts, and farmer’s carries. He performs very little aerobic activity and does not participate in endurance sports. On physical exam, he is normotensive, with a muscular build and no abnormalities noted. His BMI is 26.1 kg/m². He enrolls in a study examining muscle adaptations in athletes. A quadriceps biopsy is taken and examined. Compared to sedentary controls, his sample shows adaptation consistent with resistance training. Which of the following best describes the expected histologic finding in this athlete?	Skeletal muscle hypertrophy is the primary adaptation to anaerobic resistance training. Fiber number remains constant; growth occurs via increased cross-sectional area of existing fibers. Aerobic training (not shown here) leads to increased mitochondria, capillaries, and oxidative enzymes. 4.1 A.Deep peroneal nerve B.Femoral nerve C.Lateral plantar nerve D.Superficial peroneal nerve E.Sural nerve AnatomySubjectMusculoskeletal (Lower limb nerves)SystemNoneTopic<br><br>Correct answer letter: C	msk::peripheral_nerves
A 62-year-old man presents to the primary care clinic for evaluation of a chronic wound on the bottom of his right foot. He first noticed it approximately three weeks ago when his wife pointed out blood on his sock, although he himself had not felt any pain. He reports that for the past few years, he’s had a “tingly” or “numb” feeling in both feet, especially at night when lying in bed. Occasionally, this sensation disrupts his sleep. He denies fever, chills, or drainage from the wound. The lesion does not interfere with his ability to walk, but he mentions that over the last few months, he has had difficulty feeling the gas pedal while driving. He has no back pain or radiating leg symptoms. His medical history includes type 2 diabetes mellitus for 18 years, hypertension, dyslipidemia, coronary artery disease, and peripheral vascular disease. He has a 30-pack-year smoking history but quit five years ago. On further questioning, the patient notes that he is not consistent with checking his feet and has not seen a podiatrist in years. He wears the same pair of shoes daily and admits they are quite worn. His current medications include metformin, insulin glargine, lisinopril, atorvastatin, and aspirin. On review of systems, he denies visual changes, recent falls, bowel or bladder incontinence, and upper extremity numbness. He has not noticed any weight loss or fatigue. His A1c at the last visit was 8.9%, and he has a history of non-healing wounds in the past. He has never had lower extremity amputations. On physical examination, he is afebrile and in no acute distress. There is a 2-cm shallow ulcer with a clean base and surrounding callus on the plantar surface beneath the first metatarsal head of the right foot. There is no erythema, swelling, or fluctuance. A probe-to-bone test is negative. Monofilament testing shows loss of protective sensation over the plantar surface of both feet, including the toes and heels. There is reduced vibration sense at the great toe bilaterally. Capillary refill is delayed, and dorsalis pedis and posterior tibial pulses are diminished on the right. The ankle- brachial index is 0.62 on the affected side. The patient is scheduled for foot imaging and vascular consultation. Which of the following nerves is primarily responsible for sensation to the affected area?	The lateral plantar nerve, a branch of the tibial nerve, innervates the lateral plantar surface of the foot and is commonly involved in neuropathic ulcers in diabetic patients. Loss of protective sensation in this region predisposes to painless pressure ulcers, particularly under the metatarsal heads. 5.1 A.Abductor digiti minimi B.Extensor carpi radialis longus C.Extensor carpi ulnaris D.Extensor digitorum E.Extensor pollicis longus<br><br>Correct answer letter: C	msk::ankle_foot
A 12-year-old boy is brought to the clinic after injuring his right wrist while playing soccer during lunch break. He recalls running backwards while defending a teammate, tripping over another player's foot, and falling awkwardly onto his outstretched right hand. Since the fall, he has complained of persistent pain at the base of his thumb, especially when twisting a doorknob or picking up objects. His parents report no visible swelling or bruising, but the boy has avoided using his right hand since the injury. On physical exam, his fingers move well and there’s no visible deformity. However, palpation over the anatomical snuffbox on the dorsal radial wrist elicits marked tenderness. Passive radial deviation also causes discomfort. A plain wrist X-ray is obtained and shows no fracture. Strain of which of the following tendons might also be seen in this patient?	The anatomical snuffbox is bordered by three tendons: abductor pollicis longus, extensor pollicis brevis, and extensor pollicis longus. The extensor pollicis longus tendon forms the medial border and is most susceptible to strain in FOOSH injuries. Even in the absence of fracture, EPL strain should be considered in patients with anatomical snuffbox tenderness.<br><br>Correct answer letter: E	msk::wrist_hand
A 52-year-old woman presents to the clinic for a routine examination. She hasno current joint pain but reports occasional stiffness in her knees after sittingfor extended periods. She works from home and does not engage in regularphysical activity. Her BMI is 41 kg/m². She has no history of autoimmunedisease, prior joint trauma, or occupational joint overuse. She has beenpostmenopausal for 2 years. Vital signs and physical exam are unremarkable.Which of the following is the strongest risk factor for developing osteoarthritisin this patient?	Obesity promotes osteoarthritis through both increased mechanical stress and chronic inflammation mediated by adipokines and cytokines. It is the strongest modifiable risk factor and should be prioritized in both prevention and management strategies. 7.1 A.Anterior talofibular ligament B.Calcaneofibular ligament C.Deltoid ligament D.Fibularis longus tendon E.Posterior tibial tendon AnatomySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNoneTopic 8.1 A.Avoiding alcohol consumptionB.Decreasing body weightC.Decreasing smokingD.Increasing physical activityE.Initiating hydroxychloroquine therapyF.Starting methotrexate therapy RiskfactorsSubjectMusculoskeletal (Arthritis andspondyloarthropathies)SystemNoneTopic 9.1 A.Direct inguinal hernia B.Epigastric hernia C.Incisional hernia D.Spigelian hernia E.Umbilical hernia AnatomySubjectMusculoskeletal (Structural disorders)SystemNoneTopic<br><br>Correct answer letter: C	msk::knee
A 27-year-old man presents to the emergency department after injuring his right ankle during a recreational soccer match. While attempting to block a shot, he planted his right foot and twisted awkwardly, experiencing a sudden and forceful eversion of the ankle. He immediately felt severe pain and was unable to bear weight. On physical examination, the right ankle is swollen and bruised medially. Palpation along the medial malleolus elicits marked tenderness, and passive eversion of the foot reproduces the pain. The lateral aspect is non-tender, and the anterior drawer test is negative. Neurovascular status is intact. An x-ray of the right ankle is obtained and shown below. Which of the following structures is most likely injured?	The deltoid ligament stabilizes the medial ankle and is injured with forced eversion. Medial tenderness and increased medial joint space on x-ray are classic findings. Always consider mechanism (eversion vs inversion) and localize tenderness to guide diagnosis.<br><br>Correct answer letter: C	msk::ankle_foot
A 58-year-old woman comes to the clinic for follow-up of joint symptoms.Over the past few years, she has experienced intermittent pain and swelling inher hands, wrists, and knees. These symptoms tend to worsen in the morningsand improve slightly throughout the day. She has had several similar flares inthe past that lasted a few weeks and resolved with over-the-countermedications. The patient reports increased fatigue and stiffness recently,especially in the mornings. She works part-time as a librarian and has difficultyshelving books during flares. Her past medical history includes type 2 diabetesmellitus and hypertension. She has a BMI of 32.1 kg/m² and smokes one packof cigarettes per day. She drinks one glass of wine nightly and is not on anydisease-modifying medications. Temperature is 37.2°C (99°F), blood pressureis 142/90 mmHg, pulse is 78/min, and respirations are 16/min. Physicalexamination reveals tenderness and mild swelling in both wrists and thesecond and third metacarpophalangeal joints bilaterally. Laboratory studiesreveal a positive rheumatoid factor and anti-cyclic citrullinated peptideantibody, with mild elevation in ESR and CRP. Which of the followinginterventions would most likely decrease this patient’s risk of recurrentdisease flares?	Smoking is a modifiable risk factor that increases the risk of rheumatoid arthritis flares and reduces treatment efficacy. Smoking cessation should be a key part of RA management. Effective RA control includes both pharmacologic and lifestyle interventions.<br><br>Correct answer letter: C	msk::knee
A 70-year-old man comes to the outpatient clinic because of a bulge on the lower left side of his abdomen. He first noticed the swelling a few months ago while getting out of bed, and since then, it has gradually become more noticeable, particularly when standing or straining. He denies any trauma, prior abdominal surgery, or heavy lifting. He reports no abdominal pain, changes in bowel habits, nausea, or weight loss. His medical history includes hypertension and osteoarthritis. On physical examination, there is a soft, reducible mass in the left lower quadrant of the abdominal wall, located several centimeters lateral to the lateral border of the rectus abdominis. The swelling increases with Valsalva maneuver and reduces with gentle pressure. There is no overlying erythema, tenderness, or signs of bowel obstruction. Which of the following is the most likely diagnosis?	Spigelian hernias occur lateral to the rectus abdominis at the linea semilunaris, most often in older adults. The medial border of the hernia is the rectus abdominis, which is the highest-yield anatomic point to remember. 10.1 A.Amyotrophic lateral sclerosis B.Carpal tunnel syndrome C.Cervical foraminal stenosis D.Cervical spondylotic myelopathy E.Multiple sclerosis AnatomySubjectMusculoskeletal (Arthritis andspondyloarthropathies)SystemNoneTopic 11.1 A.Extensor digitorum B.Extensor indicis C.Flexor digitorum profundus D.Flexor digitorum superficialis E.Palmaris longus AnatomySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNoneTopic 12.1 A.Distal third of the humeral shaft B.Midshaft of the radius C.Proximal third of the ulna D.Supracondylar region of the humerus E.Surgical neck of the humerus AnatomySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNoneTopic<br><br>Correct answer letter: D	msk::arthritis
A 68-year-old woman comes to the clinic due to difficulty using her hands for the past several months. She reports struggling to grasp small objects such as keys and has recently needed assistance with tasks like buttoning her blouse and opening jars. She denies any recent trauma, falls, or fever. Her symptoms have been slowly progressive and worse on the right. She also describes intermittent tingling and dull aching pain that radiates down her right arm, sometimes reaching the hand. She does not report neck stiffness, gait instability, or bowel/bladder incontinence. Her medical history includes hypertension and hyperlipidemia, both controlled with medication. Neurologic examination shows decreased grip strength and reduced fine motor coordination on the right. Reflexes are symmetric, and no spasticity or hyperreflexia is observed. There is patchy sensory loss in the right hand. What is the most likely diagnosis?	Cervical foraminal stenosis is caused by nerve root compression at the neural foramina due to degenerative changes. Presents with unilateral weakness, sensory loss, and pain in a dermatomal/radicular distribution without signs of cord compression. MRI of the cervical spine is the diagnostic test of choice to visualize foraminal narrowing and nerve root impingement.<br><br>Correct answer letter: C	msk::spine_back
