qid,original_id,topic,board_clue,correct_answer,common_trap,why_trap_is_wrong
1,1.1,Biochemistry (General Principles) (Cell and molecular biology),A 6-year-old boy is undergoing induction chemotherapy for newly diagnosed acute lymphoblastic leukemia.,Inhibits microtubule polymerization during M phase,Inhibits anaphase by activating separase,"Similar-looking mechanism/class, but not the best match for the board clue."
2,1.7,"Biochemistry (General Principles) (DNA, RNA, nucleic acid)","A 58-year-old man presents to the emergency department with severe pain, redness, and swelling in his right big toe that began suddenly 24 hours ago.",,Allopurinol,"Similar-looking mechanism/class, but not the best match for the board clue."
3,2.1,Biochemistry (General Principles) (Lipid metabolism),,Indomethacin,Colchicine,"Similar-looking mechanism/class, but not the best match for the board clue."
4,3.1,Biochemistry (General Principles) (Lipid metabolism),A 52-year-old man comes to the clinic for a routine check-up.,Cholestyramine,Atorvastatin,"Similar-looking mechanism/class, but not the best match for the board clue."
5,4.1,Biochemistry (General Principles) (Lipid metabolism),A 46-year-old man presents to the emergency department with 18 hours of severe epigastric abdominal pain radiating to the back.,Omega-3 fatty acids,Bile acid sequestrants,"Similar-looking mechanism/class, but not the best match for the board clue."
6,1.9,General,"A 19-year-old man presents with a 7-year history of recurrent burning pain in his hands and feet, exacerbated by exercise and heat.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
7,6.1,Biochemistry (General Principles) (Receptors & extracellular matrix molecules),,Recombinant arylsulfatase A,Recombinant α-galactosidase,"Similar-looking mechanism/class, but not the best match for the board clue."
8,7.1,General,A 47-year-old man is brought to the emergency department by EMS after being found unresponsive at home.,↓ Influx of calcium at the neuromuscular junction,↑ Acetylcholine at muscarinic receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
9,8.1,"Biochemistry (General Principles) (Vitamins, cofactors, nutrients)",A 58-year-old man comes to the clinic for lipid management.,Fenofibrate,Ezetimibe,"Similar-looking mechanism/class, but not the best match for the board clue."
10,10.1,Gastroenterology (Gastroesophageal disorders),A 25-year-old man presents to the emergency department with nausea and vomiting that began earlier this morning.,Gastric mucosal erosion,Esophageal varices,"Similar-looking mechanism/class, but not the best match for the board clue."
11,11.1,Hematology & Oncology (Platelet disorders),A 42-year-old woman comes to the clinic due to easy bruising and increased bleeding from her gums over the past 5 days.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
12,12.9,General,"g/dL, leukocyte count of 6,700/mm³, and platelet count of 14,000/mm³.",Intravenous immunoglobulin (IVIG),Cryoprecipitate infusion,"Similar-looking mechanism/class, but not the best match for the board clue."
13,13.1,Microbiology (General Principles) (Bacteriology),"A 54-year-old man comes to the emergency department with a 4-day history of productive cough, fever, and shortness of breath.",Medication side effect,Asbestos exposure,"Similar-looking mechanism/class, but not the best match for the board clue."
14,14.1,Pathology (General Principles) (Inflammation and repair),A 62-year-old woman with a 15-year history of seropositive rheumatoid arthritis presents for a routine follow-up.,Acetaminophen,Add hydroxychloroquine,"Similar-looking mechanism/class, but not the best match for the board clue."
15,15.1,Pharmacology (General Principles) (Drug metabolism),A 33-year-old man with no significant medical history is scheduled for an elective inguinal hernia repair under general anesthesia.,"Stimulates nicotinic acetylcholine receptors, causing persistent depolarization","team of pharmacology researchers is investigating the mechanisms of drug-induced myopathy using a controlled animal model. They administer a combination of two lipid-lowering agents to a cohort of aged male rats. Group A receives Drug X, a commonly prescribed HMG-CoA reductase inhibitor. Group","Similar-looking mechanism/class, but not the best match for the board clue."
16,16.1,General,effect occurred?,P-450–mediated interaction,Competitive inhibition of renal tubular creatinine secretion,"Similar-looking mechanism/class, but not the best match for the board clue."
17,17.1,Pharmacology (General Principles) (Drug receptors),"A 71-year-old male with a long-standing history of chronic bronchospastic pulmonary disease is admitted for worsening dyspnea, persistent wheezing, and nocturnal cough despite maximal inhaled β2- agonist therapy.",Enhanced action of the agonist at β-adrenergic receptors,Blockade of muscarinic acetylcholine receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
18,18.1,General,"A 23-year-old woman presents to the emergency department with a 2-day history of painful oral ulcers, fever, and a rapidly progressing rash.",Sequential blockade of folate synthesis,Binds to 50S ribosomal subunit and inhibits translocation,"Similar-looking mechanism/class, but not the best match for the board clue."
19,2.1,Pharmacology (General Principles) (HY Adverse effects),"A 41-year-old man presents to the clinic with fatigue, dark-colored urine, and a diffuse skin rash that started two days ago.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
20,20.1,Pharmacology (General Principles) (HY Adverse effects),A 67-year-old man presents to his primary care physician with gradually worsening shortness of breath over the past several months.,Amiodarone,Digoxin,"Similar-looking mechanism/class, but not the best match for the board clue."
21,21.1,Pharmacology (General Principles) (HY Adverse effects),A 32-year-old man is brought to the emergency department after being found confused and diaphoretic in a field where he had been spraying pesticides for several hours.,Parathion,Carbaryl,"Similar-looking mechanism/class, but not the best match for the board clue."
22,22.1,Pharmacology (General Principles) (HY Adverse effects),A 55-year-old man presents to the clinic with gradually progressive shortness of breath over the past several months.,Cardiomyopathy,Acute myocarditis,"Similar-looking mechanism/class, but not the best match for the board clue."
23,23.1,Pharmacology (General Principles) (HY Adverse effects),"A 23-year-old woman presents to the emergency department with a 2-day history of fever, sore throat, and rapidly worsening skin lesions.",Stevens-Johnson syndrome,Bullous pemphigoid,"Similar-looking mechanism/class, but not the best match for the board clue."
24,24.1,General,A 58-year-old man comes to the clinic for a routine follow-up.,Hydrochlorothiazide,Amlodipine,"Similar-looking mechanism/class, but not the best match for the board clue."
