"Congenital and developmental anomalies: What is the key answer for this pattern?
This child presents with recurrent febrile urinary tract infections (UTIs) and is found to have right-sided hydronephrosis on renal ultrasound with a normal voiding cystourethrogram (VCUG)."	Right ureteropelvic junction. Recurrent febrile UTIs in a child with unilateral hydronephrosis and a normal voiding cystourethrogram suggest a non-refluxing obstructive cause. Contrast-enhanced radiography confirming a dilated renal pelvis with abrupt narrowing and delayed drainage points to ureteropelvic junction (UPJ) obstruction, the most common congenital cause of unilateral hydronephrosis.	renal::congenital_and_developmental_anomalies
"Urinary incontinence: What is the key answer for this pattern?
This patient with long-standing diabetes mellitus presents with urinary hesitancy, a weak stream, sensation of incomplete bladder emptying, and nocturnal incontinence without awareness—findings characteristic of overflow incontinence due to neurogenic bladder."	Impaired detrusor contractility. Overflow incontinence in diabetic patients is most often due to neurogenic bladder caused by autonomic neuropathy leading to impaired detrusor contractility. It presents with chronic painless urinary retention, high post-void residual volume, dribbling, and a distended bladder. Diagnosis is confirmed by measuring residual volume, and management begins with bladder decompression followed by cholinergic stimulation using agents like bethanechol.	renal::urinary_incontinence
"Acute kidney injury: What is the key answer for this pattern?
This patient presents with acute kidney injury (AKI) characterized by oliguria and a rising serum creatinine from 0.9 mg/dL to 2.3 mg/dL following intraoperative hypotension and significant blood loss."	Acute tubular necrosis. Acute tubular necrosis is the most likely cause of AKI following significant intraoperative hypotension or blood loss. The proximal tubule is highly susceptible to ischemia due to its high ATP demand. Key lab findings in ATN include elevated urine sodium (>40 mEq/L), FENa >1%, and BUN/Cr ratio <20 — in contrast to prerenal azotemia, which shows low urine sodium and high BUN/Cr. ATN is a clinical diagnosis triggered by ischemia, nephrotoxins, or rhabdomyolysis.	renal::acute_kidney_injury
"Acute kidney injury: What is the key answer for this pattern?
This patient with sickle cell disease presenting with acute-onset gross hematuria and flank pain most likely has renal papillary necrosis (RPN)."	Ischemic necrosis of the renal papillae. Renal papillary necrosis occurs due to ischemic injury of the renal papillae in settings such as sickle cell disease, diabetes mellitus, analgesic nephropathy, and pyelonephritis. Recognition of clinical patterns and urinalysis features helps differentiate this condition from glomerular or infectious causes of hematuria. A 64-year-old man undergoes an abdominal aortic aneurysm repair. During the	renal::acute_kidney_injury
"Acute kidney injury: What is the key answer for this pattern?
This patient developed acute kidney injury (AKI) following a major hypotensive episode during vascular surgery, with a creatinine rise from 1 mg/dL to 4.5 mg/dL in 48 hours and severe oliguria."	Acute tubular necrosis from ischemia. Ischemic acute tubular necrosis is the leading cause of intrinsic AKI after sustained hypotension, often during major surgery. It targets the proximal tubules and thick ascending limb, producing muddy brown casts and a triphasic course. Supportive care with hemodynamic optimization and nephrotoxin avoidance allows recovery if the basement membrane is intact.	renal::acute_kidney_injury
"Autoimmune processes: What is the key answer for this pattern?
This child’s recent history of a resolved pharyngitis followed by tea-colored urine, periorbital edema, and hypertension is consistent with a postinfectious glomerulonephritis, most commonly poststreptococcal glomerulonephritis (PSGN)."	C3. PSGN typically presents 1–3 weeks after streptococcal infection with hematuria, edema, and hypertension. It is classically associated with decreased serum C3 levels due to activation of the classical complement pathway. A 63-year-old man comes to the clinic because of progressive urinary changes. He	renal::autoimmune_processes
"Chronic kidney disease: What is the key answer for this pattern?
This older man developed progressive urinary frequency, nocturia, and passage of large volumes of dilute urine after pelvic radiation, with imaging showing bilateral hydroureters."	Impaired ability to concentrate urine. Pelvic radiation caused ureteral fibrosis and tubular injury, leading to loss of the medullary gradient and an impaired ability to concentrate urine, which manifests as polyuria and nocturia. 8.1	renal::chronic_kidney_disease
"Congenital and developmental anomalies: What is the key answer for this pattern?
This patient’s presentation is most consistent with cystinosis, a rare autosomal recessive lysosomal storage disorder caused by defective transport of cystine out of lysosomes."	. Cystinosis is a lysosomal storage disorder that damages the proximal tubule, causing Fanconi syndrome. The key defect is decreased sodium bicarbonate reabsorption, producing a type 2 (proximal) renal tubular acidosis with polyuria, polydipsia, growth failure, hypophosphatemia, glucosuria, and aminoaciduria. A 25-year-old man is evaluated in the emergency department because of decreased	renal::congenital_and_developmental_anomalies
"Fluid, electrolytes, and acid-base: What is the key answer for this pattern?
This patient’s post-exertional oliguria after prolonged endurance activity in heat, with hypovolemia, elevated creatinine and potassium, and a urinalysis that is heme-positive on dipstick but shows few or no red cells on microscopy, is classic for pigment nephropathy from myoglobin."	Rhabdomyolysis. This patient’s AKI after exertion with heme-positive urine but no RBCs is due to rhabdomyolysis, where myoglobin release causes tubular toxicity, cast formation, and vasoconstriction. A 71-year-old man is brought to the emergency department because of dizziness	renal::fluid_electrolytes_and_acid_base
"Fluid, electrolytes, and acid-base: What is the key answer for this pattern?
This vignette screams volume depletion: diarrhea, poor intake, hypotension, tachycardia, dry mucous membranes, oliguria, and a bland urinalysis."	Elevated blood urea nitrogen/creatinine ratio (>20:1). Prerenal azotemia is characterized by BUN/Cr ratio >20:1, FENa <1%, and urine osmolality >500 mOsm/kg, and a bland sediment with possible hyaline casts. 11.1	renal::fluid_electrolytes_and_acid_base
"Fluid, electrolytes, and acid-base: What is the key answer for this pattern?
This patient presents with rhabdomyolysis, a life-threatening condition involving acute skeletal muscle breakdown and release of intracellular contents into the bloodstream."	Rhabdomyolysis. Rhabdomyolysis presents with elevated creatine kinase, false-positive urine blood with few or no RBCs, and often hyperkalemia and acute kidney injury. Myoglobin, released from damaged muscle, is nephrotoxic and can cause acute tubular necrosis. The most appropriate step in management is aggressive IV hydration with isotonic saline. A 22-year-old woman is brought to the emergency department by her roommate	renal::fluid_electrolytes_and_acid_base
"Fluid, electrolytes, and acid-base: What is the key answer for this pattern?
This patient exhibits classic signs of prerenal azotemia due to volume depletion, most likely caused by prolonged diuretic abuse."	↑ BUN/Cr ratio, ↓ FeNa. In prerenal azotemia from volume depletion, the BUN/Cr ratio is increased due to urea reabsorption, and FeNa is decreased due to sodium conservation. A 10-year-old boy is brought to the emergency department due to fever, lower	renal::fluid_electrolytes_and_acid_base
"Genitourinary tract infections: What is the key answer for this pattern?
This patient presents with recurrent urinary tract infections and a renal ultrasound showing a U-shaped structure in the lower abdomen—findings consistent with a horseshoe kidney."	Fusion of the inferior poles of the developing kidneys. Horseshoe kidney results from fusion of the inferior poles of the metanephric kidneys during weeks 4–6 of embryogenesis, forming a U-shaped structure that is often trapped under the inferior mesenteric artery, preventing normal ascent. Most cases are asymptomatic and discovered incidentally on imaging; however, patients may present with recurrent urinary tract infections, nephrolithiasis, or hydronephrosis due to abnormal ureteral drainage. Diagnosis is confirmed by imaging (e.g., ultrasound or 	renal::genitourinary_tract_infections
"Genitourinary tract infections: What is the key answer for this pattern?
Acute pyelonephritis is an ascending urinary tract infection involving the renal pelvis and parenchyma, most commonly caused by Gram-negative bacteria such as Escherichia coli."	Ciprofloxacin. Acute pyelonephritis is a bacterial infection of the renal parenchyma that presents with fever, flank pain, and pyuria and requires antibiotic therapy with an agent that achieves high renal tissue concentrations such as a fluoroquinolone. Ciprofloxacin is the first-line choice for outpatient therapy because of its potent Gram-negative coverage and excellent renal penetration.	renal::genitourinary_tract_infections
"Genitourinary tract infections: What is the key answer for this pattern?
Vesicoureteral reflux (VUR) is a congenital or acquired condition in which urine flows retrograde from the bladder into the ureter and sometimes all the way to the renal pelvis."	Cortical scarring of the kidneys. Congenital VUR due to a short intramural ureteral tunnel predisposes to cortical scarring through recurrent reflux and pyelonephritis, with long-term risks of reflux nephropathy, hypertension, and chronic kidney disease. 16.1	renal::genitourinary_tract_infections
"Glomerular diseases: What is the key answer for this pattern?
Minimal change disease (MCD) is the most common cause of nephrotic syndrome in children and is characterized by selective proteinuria leading to hypoalbuminemia and edema."	Minimal change disease. Minimal change disease is the leading cause of nephrotic syndrome in children, presenting with selective proteinuria, hypoalbuminemia, and edema. It responds well to corticosteroids and generally has an excellent prognosis compared to other nephrotic syndromes. A 7-year-old boy is brought to the physician by his parents due to a recent onset of	renal::glomerular_diseases
